机型,制造序列号,机号,参考类型,指令类型,件号,序号,章节号,非计划,故障确认,拆换原因,安装日期,部件装上飞行小时数,部件装上飞行循环数,部件装上使用小时数,部件装上使用循环数,拆换日期,部件拆下飞行小时数,部件拆下飞行循环数,部件拆下使用小时数,部件拆下使用循环数,故障描述,部件本次装机使用小时,故障处理,部件本次装机使用循环,装上件号,装上序号,最近送修公司,CY TSN,FH TSN,送修至拆下时间/FH,送修至拆下时间/CY,件号描述,DEF#,TLB号
73N,73N00260,5092    ,DE    ,CC    ,887477                  ,MX610633A       ,29,X,X,FAIL  ,2004-12-01,9641:13,9864,9641:00,9864,2006-09-26,15822:55,13943,15822:42,13943,操纵B系统EMDP时，过热灯亮。,6181:42,依据AMM29-11-21更换B系统EMDP，测试正常。李向明 挂签号1005168,4079,887477                  ,MX-503088       ,,18453.0,30723.22,, ,(AOG)HDY MOTOR DRIVE PUMP                                   ,337523,10175361
73N,73N00212,2638    ,DE    ,CC    ,887477                  ,MX603630        ,29,X,X,FAIL  ,2007-09-10,29569:18,14558,15679:53,13716,2007-10-27,29998:51,14777,16109:26,13935,航后检查发现A系统EMDP泵本体漏油。谢大志,429:33, 依据AMM29-11-21更换A系统EMDP泵，测试工作正常。挂签号；0110344谢大志,219,57186-10                ,K1331           ,武汉航达,31138.0,55938.43,429:33,219,(AOG)HDY MOTOR DRIVE PUMP                                   ,472099,10233977
73N,73N00173,5062    ,DE    ,CC    ,887477                  ,MX610633A       ,29,X,X,FAIL  ,2007-05-19,25068:33,14467,15822:42,13943,2008-03-20,27617:17,16127,18371:26,15603,见TL10307954,2548:44,    航后测量EMDP上的插头4-5号钉断路，依据AMM29-11-21-00-802-002更换B系统EMDP，通电测试正常。挂签：2000786陈晓光封圈：NAS1612-12:NAS1612-10:NAS1612-6,1660,887477                  ,MX603630        ,武汉航达,25834.0,34918.19,2548:44,1660,(AOG)HDY MOTOR DRIVE PUMP                                   ,525968,10307968
73N,73N00548,5083    ,DE    ,CC    ,887477                  ,MX-510972       ,29,X,X,FAIL  ,2005-12-18,13628:37,12103,133:01,76,2010-10-19,30039:15,21122,16543:39,9095,南京起飞6分钟后液压B系统电动泵ELEC1 low pressure 灯亮。机组HYD B HYD PUMP ELEC1,16410:38,      FLB10389747A航后排故判断为B系统EMDP本体故障，更换EMDP 检查EMDP壳体回油滤滤芯与滤杯干净更换油滤，测试正常无渗漏。白进福AF troubleshooting and judge the EMDP of system B fail replace theEMDP check the EMDP case filter no chips replace filter test okPACKING:NAS1612-12A/NAS1612-10A油滤65-90305-58,9019,887477                  ,MX620435A       ,武汉航达,19461.0,36103.36,16410:38,9019,(AOG)HDY MOTOR DRIVE PUMP                                   ,1063697,10389745
73N,73N00548,5083    ,DE    ,CC    ,887477                  ,MX-503088       ,29,X,X,FAIL  ,2012-08-25,36151:59,24331,18013:48,11270,2012-10-15,36588:16,24523,18450:05,11462,"航前检查A系统EMDP打压无压力,检查EMDP壳体回油滤有金属屑. 詹新权 Checka system EMDP pressure is low check the EMDP drain has metal chip",436:17,"    航前依据AMM29-11-21更换A系统EMDP和壳体回油滤,打压测试无渗漏,工作正常并办理 FC201212781 和 FC201212783  詹新权 PF refer to AMM29-11-21replace a system EMDP and case drain filter test work normal and noleakage transact FC201212781 and FC201212783 壳体油滤 7577741  封圈NAS1611-114  封圈 NAS1611-220",192,887477                  ,MX-555477       ,武汉航达,38140.0,63706.57,436:17,192,(AOG)HDY MOTOR DRIVE PUMP                                   ,1751853,10426885
73N,73N01766,5135    ,DE    ,CC    ,887477                  ,MX621721        ,29,X,X,FAIL  ,2006-07-03,2449:42,1448,11047:23,10493,2011-10-19,20511:34,10644,29109:15,19689,海口落地后B ELEC HYD PUMPS 灯亮.机组,18061:52,"           航后脱开D2666插头检查发现D2666插头烧蚀,插座有液压油渍,量线检查发现R318烧蚀断路.更换D2666插头,B系统EMDP,检查B系统EMDP壳体回油滤干净无杂质,更换R318继电器,打泵测试工作正常.王晓东AF disconnect the D2666 connector check and find the D2666 plug wasdestroyed,the (FL10484639A)receptable filled with HYD flaid,measurethe wire find the R318 was short,replace the D2666 plug and systemB EMDP,check B system EMDP case fitter was clean,replace the R318,pressure the hydraulic system test OKPACKING:NAS1611-220/NAS1612-12/NAS1612-10R318:9124-10400D2666/BACC63CB18-8SNFILTER:7577741",9196,57186-10                ,247618          ,武汉航达,32.0,33.43,18061:52,9196,(AOG)HDY MOTOR DRIVE PUMP                                   ,1373096,10484638
73N,73N00548,5083    ,DE    ,CC    ,887477                  ,MX606507        ,29,X,X,FAIL  ,2001-07-01,00:00,0,00:00,0,2012-08-25,36151:59,24331,36151:59,24331,航后检查发现A系统EMDP本体有轻微渗漏。  李旭东AF check A sys has a little leakage for EMDP,36151:59,"      航后依据AMM29-11-21-400-801-001更换A系统EMDP,测试结果符合手册要求，操作无渗漏。  李旭东AF refer to AMM29-11-21-400-801-001 replace EMDP of sys A testok and no leakage滤子 P/N 10-60555-8封圈 P/N NAS1612-10封圈 P/N NAS1612-12",24331,887477                  ,MX-503088       ,,18453.0,30723.22,, ,(AOG)HDY MOTOR DRIVE PUMP                                   ,1696883,10494979
73N,73N00577,5090    ,DE    ,CC    ,887477                  ,MX621721        ,29,X,X,FAIL  ,2012-08-03,35254:03,24057,29109:15,19689,2012-10-19,35881:12,24321,29736:24,19953,检查发现EMDP渗漏Check and found EMDP lankage.,627:09,   航后依据AMM 79-11-21 更换系统EMDP 未做渗漏测试，由于无法通电AF refer to AMM 79-11-21 replace A system EMDP airplane honer lendyetest fumtion test.肖铮,264,57186-10                ,571865721       ,武汉航达,14601.0,30177.33,627:09,264,(AOG)HDY MOTOR DRIVE PUMP                                   ,1762254,10541197
73N,73N00477,5080    ,DE    ,CC    ,887477                  ,MX654104        ,29,X,X,FAIL  ,2002-06-06,00:00,0,00:00,0,2014-06-07,51337:18,25374,51337:18,25374,,51337:18,"        航后依据MCO为进一步排除A系统EMDP过热灯亮故障,依据 AMM29-11-21 完成更换A系统EMDP并依据 TASK29-11-21-700-801 完成相关测试, 符合手册要求葛明坤AF refer to MCO futher EMDP overheat light out A system fault referto AMM29-11-21 accomplish replace A system EMDP and referTASK29-11-21-700-801 the related test covyorm to the requirement ofthe manual.PACKING nas1612-6  PACKING nas1612-10   PACKING  NAS1612-12731422  MX654104    57186-10  571863702",25374,57186-10                ,571863702       ,,8572.0,16954.36,, ,(AOG)HDY MOTOR DRIVE PUMP                                   ,2628348,10780537
73N,73N04159,1902    ,DE    ,CC    ,887477                  ,MX-503088       ,29,X,X,FAIL  ,2015-03-26,8352:20,3927,18450:05,11462,2015-05-27,8927:41,4165,19025:26,11700,A系统EMDP低压灯亮 陈剑THE LOW PRESSURE LIGHT ON OF A HYD EMDP,575:21,"     航后依据AMM29-09-03更换液压油箱空气压力表,测试正常无渗漏 陈剑AF REFER TO AMM29-09-03 REPLACED THE AIR PRESSURE GAUGE OF HYDRESERVIORS, TEST OK航后依据AMM29-11-21更换A液压系统EMDP,测试工作正常无渗漏,压力3010PSIAF REFER TO AMM29-11-21 REPLACED THE EMDP OF A HYD SYSTEM TEST OK,NO LEAKAGE, PRESSURE IS 3010PSI",238,887477                  ,MX620435A       ,武汉航达,19461.0,36103.36,575:21,238,(AOG)HDY MOTOR DRIVE PUMP                                   ,3249899,10860073
73N,73N04209,1903    ,DE    ,CC    ,887477                  ,MX761314        ,29,X,X,FAIL  ,2012-09-27,00:00,0,00:00,0,2016-01-09,9907:41,4664,9907:41,4664,航后检查发现A系统FMDP漏油.曲道威AF check sys A EMDP leup kege,9907:41, 航后依据AMM29-11-21更换A系统FMDP 测试正常.无渗漏.曲道威AF refer to AMM29-11-21 replace SYS A FMDP test ok No leakage,4664,887477                  ,MX-503088       ,,18453.0,30723.22,, ,(AOG)HDY MOTOR DRIVE PUMP                                   ,3707741,10867919
73N,73N04159,1902    ,DE    ,CC    ,887477                  ,MX620435A       ,29,X,X,FAIL  ,2015-05-27,8927:41,4165,28180:29,15860,2016-05-04,12016:35,5463,31269:23,17158,检查A系统EMDP泵右渗油现象      卞晶 CEHC KTHE A SYSTEM EMDP LEAK,3088:54," 依据AMM29-11-21更换A系统EMDP泵,测试正常,无渗漏    卞晶 REFAMM29-11-21 REPLACE HTEA SYSTEM.ENDP TEST OK NO LEAK   TAG:0010779",1298,887477                  ,MX610633A       ,武汉航达,22443.0,29364.1,3088:54,1298,(AOG)HDY MOTOR DRIVE PUMP                                   ,3995176,11002385
73N,73N01805,5137    ,DE    ,CC    ,887477                  ,MX654104        ,29,X,X,FAIL  ,2014-11-26,27528:29,14044,51337:18,25374,2017-08-13,35333:58,18116,59142:47,29446,航后B系统EMDP不适用本机   仝伟B SYSTEM EMDP DON'T APPLICATION TEH A/C,7805:29,"   航后依据  AMM29-11-21 更换B系统EMDP测试压力正常,无渗漏  (3000PSI)仝伟AF REFER TO AMM29-11-21 REPLACE B SYSTEM IS EMDP TEST THE PRS ISNORMAL (3000PSI) CHECK DON'T HAVE LEAKAGE",4072,57186-11                ,571869503       ,武汉航达,3866.0,7585.06,7805:29,4072,(AOG)HDY MOTOR DRIVE PUMP                                   ,5230131,11233507
73N,73N00163,5061    ,DE    ,CC    ,887477                  ,MX651675        ,29,X,X,FAIL  ,2007-11-12,18561:60,17464,00:00,0,2017-08-16,55326:37,36806,36764:37,19342,TS要求更换B系统EMDP.   李光彬TS order replaced B system EMDP,36764:37," 航后依据AMM29-11-21,更换EMDP测试正常,检查无渗漏.   李光彬/梅超AF refer AMM29-11-21 replaced EMDP test OK , check no leakage",19342,57186-10                ,571865942       ,武汉航达,8815.0,16815.04,, ,(AOG)HDY MOTOR DRIVE PUMP                                   ,5241152,11257844
73N,73N02373,5346    ,DE    ,CC    ,887477                  ,MX606507        ,29,X,X,FAIL  ,2013-03-12,18387:36,9178,36151:59,24331,2017-08-19,32076:56,16258,49841:19,31411,,13689:20,"        依据工卡AMM29-11-21更换A系统EMDP泵完成相应的测试,符合手册要求,按AMM12-14完成液压系统勤务工作,测试无渗漏,完成MCO-2017-08-14-2拆下件办理可用,挂签号6038532.张建国FLB11277478BRefer to AMM29-11-21 replacaed the A SYS EMDP and accomplished theapplication test,agree with AMM requiremet refer to AMM12-14accomplished the LIYD sys service job test no leakage completed MCO,removed serviceable.封圈:NAS1612-6;NAS1612-10;NAS1612-12",7080,57186-10                ,571864195       ,武汉航达,18534.0,36708.14,13689:20,7080,(AOG)HDY MOTOR DRIVE PUMP                                   ,5248480,11277478
73N,73N00548,5083    ,DE    ,CC    ,887477                  ,MX-555477       ,29,X,X,FAIL  ,2012-10-15,36588:16,24523,44027:29,29041,2018-03-29,53619:47,32231,61059:00,36749,FROM FLB11448987A FLB11448988B FLB11448989A FLB11448989B,17031:31,"     航后依据AMM29-12-21 更换换A系统ENDP 测试正常无渗漏 ,并慢车测试左发EDP测试正常,检查EMDP EDP壳体回油滤无渗漏  崔立民AF REF TO AMM29-11-21 REPLACED THE SYS A ENDP AND THE TEST IS OK RUNENGINE 1 TEST THE EDP CHECK IT OK AND CHECK THE EDP EMDP CASE FILTERNO LEAKAGE封圈:NAS1612-10  封圈:NAS1612-12  封圈:NAS1612-6",7708,887477                  ,MX760495        ,武汉航达,9854.0,19441.39,17031:31,7708,(AOG)HDY MOTOR DRIVE PUMP                                   ,5998737,11448990
73N,73N00551,5089    ,DE    ,CC    ,887477                  ,MX621720        ,29,X,X,FAIL  ,2000-05-16,00:00,0,00:00,0,2018-08-26,51198:06,30157,51198:06,30157,检查发现EMDP漏油.  胡贤check EMDP leakage,51198:06,"   依据AMM29-11-21更换EMDP并且依据AMM29-11-41更换壳体组件,测试正常.胡贤refer AMM29-11-21 replace B system EMDP and refer AMM29-11-49replace EMDP case drain filter test OK壳体(case drain filter):75-777-41",30157,887477                  ,MX624450        ,,32073.0,52190.15,, ,(AOG)HDY MOTOR DRIVE PUMP                                   ,6517303,11584540
73N,73N00577,5090    ,DE    ,CC    ,887477                  ,MX624478        ,29,X,X,FAIL  ,2000-06-08,00:00,0,00:00,0,2018-12-29,55014:29,33271,55014:29,33271,航后发现B系统EMDP漏油。张庆磊AF check found there is a leakage of the HYD B system EMDP,55014:29,"    航后依据AMM29-11-21 更换液压B系统EMDP，操作测试工作正常，无渗漏。A,B系统加油至102%,106%。 张庆磊AF refer to AMM29-11-21 to replaced the HYD B system EMDP andoperate test is ok no leakage and refuel oil of system A and B tothe 102%,106%. 封圈:NAS1612-6  封圈:NAS1612-10 封圈:NAS1612-12",33271,887477                  ,MX-537132       ,,36979.0,59562.47,, ,(AOG)HDY MOTOR DRIVE PUMP                                   ,6953904,11624926
73N,73N00587,5082    ,DE    ,CC    ,887477                  ,MX623014        ,29,X,X,FAIL  ,2018-07-25,53874:09,32790,17725:04,14936,2019-01-26,55393:25,33472,19244:20,15618,FLB11632061A,1519:16,    过站依据AMM29-11-41 更换EMDP壳体回油滤且检查无杂质后依据AMM29-11-21完成更换A系统EMDP后 测试正常 无渗漏 KHN机务TR REFER TO AMM29-11-41 REPLACE ASSY EMDP FILTER AND CHECK TO NORMALTHEN REFER TO AMM29-11-21 REPLACE A SYS EMDP TEST IS OK NO LEAKAGE7577741,682,887477                  ,MX603630        ,武汉航达,25834.0,34918.19,1519:16,682,(AOG)HDY MOTOR DRIVE PUMP                                   ,7058546,11632062
73N,73N00587,5082    ,DE    ,CC    ,887477                  ,MX603630        ,29,X,X,FAIL  ,2019-01-26,55393:25,33472,34380:23,25569,2019-04-12,55931:21,33737,34918:19,25834,航前检查发现A系统EMDP本体液压油渗漏。 张佳楠PF check find there have hydraulic leakage of the sys A EMDP,537:56,         航前依据手册AMM29-11-21 更换A系统EMDP未完成测试，未涂胶。未完成A系统液压勤务。 张佳楠 PF refer to AMM29-11-21 replacement the EMDPof sys A.don't accomplished the test，the sys A service，andthe sealFROM FLB11669768B 航前依据AMM29-11-21 完成测试，测试正常。完成涂胶完成A系统液压勤务至96%。 杨刚/周永强 PF refer to AMM29-11-21accomplished test test it ok.accomplished seal. accomplish sys Aservice to 96%.备注:下面CC中的UTC TIME和ACCDATA错误，正确的时间是09:00 2019/04/11即4月11号航前完成最后的工作做备注。,265,887477                  ,MX763411        ,武汉航达,9217.0,17175.51,537:56,265,(AOG)HDY MOTOR DRIVE PUMP                                   ,7313774,11669768
73N,73N00230,5091    ,DE    ,CC    ,887477                  ,MX610633A       ,29,X,X,FAIL  ,2010-09-11,30576:40,23652,18371:26,15603,2010-10-10,30833:27,23839,18628:13,15790,航后检查发现A系统EMDP壳体漏油约5滴每分钟。王超 AF check and findSYSEM A EMDP leak 5 drops per min,256:47,"     航后依据AMM29-00-00-790-801检查漏油在手册允许范围内,故办理FC201006431王超。AF refer AMM29-00-00-790-801 check it the leak is in range offthe AMM make FC201006431航后完成FC201006431更换A系统电动泵参考AMM29-00-00-790-801完成相关测试撤FC201006431。见TLB62015593 高绪敬 AF replaced the EMDP ofsystem A,refer to AMM29-00-00-790-801 close the FC201006431 SEE",187,57186-10                ,K0732           ,武汉航达,10.0,8.13,256:47,187,(AOG)HDY MOTOR DRIVE PUMP                                   ,1056795,62015591
73N,73N00587,5082    ,DE    ,CC    ,887477                  ,MX624450        ,29, , ,SCH   ,2000-06-19,00:00,0,00:00,0,2017-03-04,49857:52,30976,49857:52,30976,,49857:52,5082飞机 WOH73N 14472 依据新版NRC完成拆换,30976,887477                  ,MX-537132       ,,36979.0,59562.47,, ,(AOG)HDY MOTOR DRIVE PUMP                                   ,4780464,
73N,73N00587,5082    ,DE    ,CC    ,887477                  ,MX-537132       ,29,X,X,FAIL  ,2017-03-04,49857:52,30976,53629:37,34176,2018-07-25,53874:09,32790,57645:54,35990,,4016:17,检查发现EMDP，A系统泵漏油。   WOH73N 18581,1814,887477                  ,MX623014        ,武汉航达,15618.0,19244.2,4016:17,1814,(AOG)HDY MOTOR DRIVE PUMP                                   ,6403410,
73N,73N00173,5062    ,NRC   ,CC    ,887477                  ,MX603630        ,29,X,X,FAIL  ,2008-03-20,27617:17,16127,16109:26,13935,2009-05-27,31888:56,19083,20381:05,16891,B系统EMDP漏油超标B SYS EMDP LEAKS OUT OF LIMIT.,4271:39,      1.根据AMM29-11-21-000-802-002拆下B系统EMDP。 REMOVE SYS B EMDP REFER TO AMM29-11-21-000-802-002.AIRP2.根据AMM29-11-21-400-802-002安装B系统EMDP. INSTALL SYS B EMDP REFER TO AMM29-11-21-400-802-002 。MINPRII3.参考AMMAMM29-11-21-400-802-002完成泵安装测试，确保符合手册要求。DO THE INSTALLING TEST OF THE EMDP ，MAKE SURE THE RESULT ACCORD WITH THEMANUAL。AIRP,2956,887477                  ,MX-492433       ,武汉航达,44380.0,70220.43,4271:39,2956,(AOG)HDY MOTOR DRIVE PUMP                                   ,279281,
73N,73N00230,5091    ,NRC   ,CC    ,887477                  ,MX503088        ,29,X,X,FAIL  ,2004-11-22,10139:56,10409,00:00,0,2006-03-15,14577:05,13186,4437:09,2777,"由于A系统EMDP被串走,需重新安装新的EMDP. IT'S NEED TO INSTALLATION ANEW EMDP FOR SYSTEM A FOR ROBED .",4437:09,"     1  根据AMM29-11-21更换A系统EMDP。 
INSTALLATION A NEW EMDP FOR SYS A REF TO AMM29-11-21.  机身 　 　RII
2  参考AMM29-11-21完成EMDP安装测试，确认EMDP工作符合手册要求。 
DO A EMDP INASTALLATION TEST REF TO AMM29-11-21. MAKE SURE THE EMDPWORKS ACCORD WITH THE MANUAL。 
",2777,887477                  ,MX620435A       ,,19461.0,36103.36,, ,(AOG)HDY MOTOR DRIVE PUMP                                   ,176197,
73N,73N00230,5091    ,NRC   ,CC    ,887477                  ,MX620435A       ,29,X,X,FAIL  ,2006-03-15,14577:05,13186,00:00,0,2009-12-19,28033:57,21933,13456:52,8747,A系统EMDP漏油超标(20drain/min).A SYS EMDP LEAKS OUT OF LIMIT (20drain/min).,13456:52,       1.根据AMM29-11-21-000-801-001拆下A系统EMDP。 REMOVE SYS B EMDP REFER TO AMM29-11-21-000-802-002.AIRP2.根据AMM29-11-21-400-801-001安装A系统EMDP. INSTALL SYS B EMDP REFER TO AMM29-11-21-400-802-002 。MINPRII3.参考AMMAMM29-11-21-400-801-001完成泵安装测试，确保符合手册要求。DO THE INSTALLING TEST OF THE EMDP ，MAKE SURE THE RESULT ACCORD WITH THEMANUAL。AIRP挂签号:9001328  金华敏,8747,887477                  ,MX615683A       ,,29608.0,47410.35,, ,(AOG)HDY MOTOR DRIVE PUMP                                   ,313146,
73N,73N00230,5091    ,NRC   ,CC    ,887477                  ,MX603630        ,29, , ,SCH   ,2010-10-11,30841:40,23849,20381:05,16891,2012-09-13,37522:35,28599,27062:00,21641,"为满足飞机退租需求，更换A系统EMDP泵。 
FOR MEETING REDELIVERY REQUIREMENT,REPLACE THE A SYSTEM EMDP.",6680:55,"  1
1-1.  参考AMM29-11-21-000-802-002拆下EMDP。 
REMOVE THE EMDP REFERTO AMM29-11-21-000-802-002 
1-2.  参考AMM29-11-21-400-802-002安装EMDP。 
INSTALL THE EMDP REFER TO AMM29-11-21-000-802-002. RII
",4750,887477                  ,MX652408        ,武汉航达,10252.0,17409.53,6680:55,4750,(AOG)HDY MOTOR DRIVE PUMP                                   ,534555,
73N,73N00260,5092    ,NRC   ,CC    ,887477                  ,MX-503088       ,29, , ,SCH   ,2006-09-26,15822:55,13943,4111:42,2610,2010-09-27,29725:01,22603,18013:48,11270,"B系统EMDP漏油超标,需更换。
B SYS EMDP LEAKS OUT OF LIMIT NEED TO BE REPLACED.",13902:06,"     1
1-1.  根据AMM29-11-21-000-801-001拆下B系统EMDP。 
REMOVE SYS B EMDPREFER TO AMM29-11-21-000-802-002. 
1-2.  根据AMM29-11-21-400-801-001安装B系统EMDP. 
INSTALL SYS B EMDP REFER TO AMM29-11-21-400-802-002 RII
1-3.  参考AMMAMM29-11-21-400-801-001完成泵安装测试，确保符合手册要求。 
DO THE INSTALLING TEST OF THE EMDP ，MAKE SURE THE RESULT ACCORD WITH THE MANUAL RII
",8660,887477                  ,MX-492434       ,武汉航达,34671.0,54563.39,13902:06,8660,(AOG)HDY MOTOR DRIVE PUMP                                   ,378815,
